instruction,score,step
Answer the question directly.,0.6816568047337278,0
Analyze the problem thoroughly and select the correct answer.,0.6378698224852071,1
Analyze the problem thoroughly and select the correct answer from the options provided.,0.6355029585798817,1
Provide a detailed answer.,0.6272189349112426,0
Analyze each option carefully in relation to the problem statement and select the most accurate answer based on the given information.,0.6094674556213018,2
"Analyze each option carefully, eliminate incorrect answers, and select the most accurate response based on the given information.",0.6082840236686391,2
Analyze each option carefully in relation to the given problem context and select the most accurate answer based on the provided information.,0.6071005917159763,2
"Analyze the problem carefully, use relevant concepts or calculations, and select the most accurate answer from the provided options.",0.5976331360946746,3
"Analyze the problem thoroughly, consider all relevant factors, and provide a precise answer.",0.5952662721893491,1
Solve this problem carefully.,0.5822485207100592,0
"Analyze each option carefully, eliminate incorrect choices based on the given information, and select the most accurate answer.",0.578698224852071,2
"Analyze the given information thoroughly, apply relevant concepts or calculations as needed, and select the most precise answer from the options provided.",0.5751479289940828,3
"Analyze the given information thoroughly, apply relevant concepts or calculations, and select the most precise answer from the options provided.",0.570414201183432,3
"Analyze each option carefully, apply relevant principles or calculations, and select the most accurate answer.",0.5692307692307692,2
"Analyze the problem contextually, apply relevant principles or calculations methodically, and select the most accurate answer from the provided options based on the information given.",0.5644970414201184,20
"Analyze the problem statement carefully, apply relevant theories or calculations as needed, and select the most accurate answer from the provided options based on the information given.",0.5633136094674556,8
"Analyze the provided information critically, apply necessary concepts or calculations, and choose the most accurate answer from the options given.",0.5562130177514792,4
"Analyze each option carefully in relation to the problem statement, eliminate incorrect choices logically, and select the most accurate answer.",0.5526627218934911,2
"Analyze the question thoroughly, apply relevant concepts or calculations as necessary, and select the most accurate answer based on the provided information.",0.5526627218934911,8
"Analyze the provided context or question meticulously, apply relevant theories or calculations as required, eliminate incorrect options logically, and select the most precise answer from those given based on the information presented.",0.5455621301775148,13
